code,name,area,state,type,pop
17040,Snowy Monaro Regional (A),15163.5461,nsw,lga,20733
17080,Snowy Valleys (A),8959.0028,nsw,lga,14532
17100,Strathfield (A),14.0009,nsw,lga,45143
17150,Sutherland Shire (A),333.5933,nsw,lga,229213
17200,Sydney (C),26.7429,nsw,lga,240229
17310,Tamworth Regional (A),9884.3506,nsw,lga,62156
17350,Temora (A),2802.016,nsw,lga,6274
17400,Tenterfield (A),7322.793,nsw,lga,6638
17420,The Hills Shire (A),386.1588,nsw,lga,172473
17550,Tweed (A),1307.6562,nsw,lga,96108
17620,Upper Hunter Shire (A),8096.0892,nsw,lga,14220
17640,Upper Lachlan Shire (A),7127.3957,nsw,lga,7961
17650,Uralla (A),3226.5327,nsw,lga,6062
17750,Wagga Wagga (C),4824.4889,nsw,lga,64820
17850,Walcha (A),6261.0242,nsw,lga,3132
17900,Walgett (A),22308.3848,nsw,lga,6051
17950,Warren (A),10753.7673,nsw,lga,2745
18020,Warrumbungle Shire (A),12372.1201,nsw,lga,9399
18050,Waverley (A),9.3507,nsw,lga,74114
18100,Weddin (A),3414.8566,nsw,lga,3636
18200,Wentworth (A),26256.2398,nsw,lga,7042
18250,Willoughby (C),22.4258,nsw,lga,80339
18350,Wingecarribee (A),2689.3413,nsw,lga,50493
18400,Wollondilly (A),2555.434,nsw,lga,52230
18450,Wollongong (C),683.986,nsw,lga,216071
18500,Woollahra (A),12.2775,nsw,lga,58964
18710,Yass Valley (A),3995.3257,nsw,lga,16953
19399,Unincorporated NSW,93214.1592,nsw,lga,1080
20110,Alpine (S),4788.1568,vic,lga,12730
20260,Ararat (RC),4211.1171,vic,lga,11795
20570,Ballarat (C),739.0321,vic,lga,107325
20660,Banyule (C),62.5402,vic,lga,130237
20740,Bass Coast (S),865.8095,vic,lga,35327
20830,Baw Baw (S),4027.6287,vic,lga,52015
20910,Bayside (C),37.2111,vic,lga,105718
21010,Benalla (RC),2352.6397,vic,lga,14024
21110,Boroondara (C),60.1774,vic,lga,181289
21180,Brimbank (C),123.3991,vic,lga,208714
21270,Buloke (S),8000.4027,vic,lga,6184
21370,Campaspe (S),4518.8582,vic,lga,37592
21450,Cardinia (S),1282.5678,vic,lga,107120
21610,Casey (C),409.4289,vic,lga,340419
21670,Central Goldfields (S),1532.7843,vic,lga,13209
21750,Colac-Otway (S),3437.4701,vic,lga,21503
21830,Corangamite (S),4407.4921,vic,lga,16140
21890,Darebin (C),53.4711,vic,lga,161609
22110,East Gippsland (S),20940.2326,vic,lga,46818
22170,Frankston (C),129.598,vic,lga,141845
22250,Gannawarra (S),3735.3353,vic,lga,10547
22310,Glen Eira (C),38.6906,vic,lga,153858
22410,Glenelg (S),6218.5734,vic,lga,19665
22490,Golden Plains (S),2703.3898,vic,lga,23120
22620,Greater Bendigo (C),2999.9721,vic,lga,116045
22670,Greater Dandenong (C),129.5469,vic,lga,166094
22750,Greater Geelong (C),1247.9876,vic,lga,252217
22830,Greater Shepparton (C),2421.9093,vic,lga,66007
22910,Hepburn (S),1472.9844,vic,lga,15812
22980,Hindmarsh (S),7524.1824,vic,lga,5645
23110,Hobsons Bay (C),64.2404,vic,lga,96470
23190,Horsham (RC),4266.769,vic,lga,19875
23270,Hume (C),503.8505,vic,lga,224394
23350,Indigo (S),2040.069,vic,lga,16490
23430,Kingston (C) (Vic.),91.3677,vic,lga,163431
23670,Knox (C),113.9115,vic,lga,163203
23810,Latrobe (C) (Vic.),1425.6128,vic,lga,75211
23940,Loddon (S),6696.4447,vic,lga,7513
24130,Macedon Ranges (S),1748.2837,vic,lga,49388
24210,Manningham (C),113.3478,vic,lga,125508
24250,Mansfield (S),3843.8535,vic,lga,8979
24330,Maribyrnong (C),31.2254,vic,lga,91387
24410,Maroondah (C),61.4097,vic,lga,117498
24600,Melbourne (C),37.3513,vic,lga,169961
24650,Melton (C),527.5374,vic,lga,156713
24780,Mildura (RC),22082.4836,vic,lga,55515
24850,Mitchell (S),2862.0833,vic,lga,44299
24900,Moira (S),4046.3738,vic,lga,29799
24970,Monash (C),81.4829,vic,lga,200077
25060,Moonee Valley (C),43.1386,vic,lga,127883
25150,Moorabool (S),2110.5504,vic,lga,34158
25250,Moreland (C),50.9519,vic,lga,181725
25340,Mornington Peninsula (S),724.1679,vic,lga,165822
25430,Mount Alexander (S),1529.6184,vic,lga,19514
25490,Moyne (S),5481.6861,vic,lga,16887
25620,Murrindindi (S),3879.7505,vic,lga,14478
25710,Nillumbik (S),432.3373,vic,lga,64941
25810,Northern Grampians (S),5729.8764,vic,lga,11431
25900,Port Phillip (C),20.7092,vic,lga,113200
25990,Pyrenees (S),3434.5689,vic,lga,7353
26080,Queenscliffe (B),8.6166,vic,lga,2982
26170,South Gippsland (S),3296.3307,vic,lga,29576
26260,Southern Grampians (S),6654.0186,vic,lga,16135
26350,Stonnington (C),25.6514,vic,lga,116207
26430,Strathbogie (S),3303.2568,vic,lga,10645
26490,Surf Coast (S),1552.944,vic,lga,32251
26610,Swan Hill (RC),6115.3087,vic,lga,20759
26670,Towong (S),6674.9467,vic,lga,6054
26700,Wangaratta (RC),3645.1095,vic,lga,29087
26730,Warrnambool (C),120.9488,vic,lga,34862
26810,Wellington (S),10817.3346,vic,lga,44019
26890,West Wimmera (S),9108.2042,vic,lga,3862
26980,Whitehorse (C),64.28,vic,lga,176196
27070,Whittlesea (C),489.6939,vic,lga,223322
27170,Wodonga (C),432.6894,vic,lga,41429
27260,Wyndham (C),542.0949,vic,lga,255322
27350,Yarra (C),19.5425,vic,lga,98521
27450,Yarra Ranges (S),2468.205,vic,lga,158173
27630,Yarriambiack (S),7325.797,vic,lga,6658
29399,Unincorporated Vic,283.0142,vic,lga,889
30250,Aurukun (S),7423.989,qld,lga,1382
30300,Balonne (S),31103.7071,qld,lga,4334
30370,Banana (S),28550.1626,qld,lga,14291
30410,Barcaldine (R),53382.6558,qld,lga,2852
30450,Barcoo (S),61830.0907,qld,lga,267
30760,Blackall-Tambo (R),30537.2479,qld,lga,1863
30900,Boulia (S),60905.7352,qld,lga,425
31000,Brisbane (C),1342.7188,qld,lga,1231605
31750,Bulloo (S),73723.751,qld,lga,330
31820,Bundaberg (R),6431.003,qld,lga,95302
31900,Burdekin (S),5043.9317,qld,lga,17077
31950,Burke (S),39684.0526,qld,lga,352
32080,Cairns (R),1689.3129,qld,lga,165525
32250,Carpentaria (S),64121.0124,qld,lga,1974
32260,Cassowary Coast (R),4687.824,qld,lga,29689
32270,Central Highlands (R) (Qld),59834.8359,qld,lga,28645
32310,Charters Towers (R),68382.1643,qld,lga,11850
32330,Cherbourg (S),31.6002,qld,lga,1315
32450,Cloncurry (S),47971.2596,qld,lga,3091
32500,Cook (S),105718.7588,qld,lga,4445
32600,Croydon (S),29497.9024,qld,lga,288
32750,Diamantina (S),94730.4545,qld,lga,292
32770,Doomadgee (S),1827.6518,qld,lga,1507
32810,Douglas (S),2427.8626,qld,lga,12257
33100,Etheridge (S),39199.2956,qld,lga,804
33200,Flinders (S) (Qld),41199.9374,qld,lga,1499
33220,Fraser Coast (R),7104.5987,qld,lga,105463
33360,Gladstone (R),10484.2862,qld,lga,62979
33430,Gold Coast (C),1333.7031,qld,lga,606774
33610,Goondiwindi (R),19258.1008,qld,lga,10728
33620,Gympie (R),6883.9713,qld,lga,51586
33800,Hinchinbrook (S),2807.1889,qld,lga,10805
33830,Hope Vale (S),1111.7099,qld,lga,1081
33960,Ipswich (C),1093.857,qld,lga,213638
33980,Isaac (R),58707.9174,qld,lga,20934
34420,Kowanyama (S),2555.3325,qld,lga,977
34530,Livingstone (S),11757.8683,qld,lga,37638
34570,Lockhart River (S),3575.4992,qld,lga,782
34580,Lockyer Valley (R),2269.0053,qld,lga,41011
34590,Logan (C),958.1322,qld,lga,326615
34710,Longreach (R),40572.2443,qld,lga,3530
34770,Mackay (R),7613.2964,qld,lga,116539
34800,McKinlay (S),40736.7989,qld,lga,814
34830,Mapoon (S),537.1003,qld,lga,325
34860,Maranoa (R),58705.2524,qld,lga,12791
34880,Mareeba (S),53491.05,qld,lga,22517
35010,Moreton Bay (R),2041.4746,qld,lga,459585
35250,Mornington (S),1247.6932,qld,lga,1218
35300,Mount Isa (C),43713.0221,qld,lga,18878
35600,Murweh (S),40699.7585,qld,lga,4318
35670,Napranum (S),2004.3545,qld,lga,1048
35740,Noosa (S),869.8657,qld,lga,55369
